[size=5][x=33][y=11][type=1] 	=> 0.001003
[size=10][x=23][y=19][type=1] 	=> 0.000998
[size=20][x=0][y=10][type=0] 	=> 0.000992
[size=5][x=16][y=18][type=0] 	=> 0.000986
[size=5][x=25][y=2][type=0] 	=> 0.000985
[size=10][x=21][y=11][type=1] 	=> 0.000983
[size=20][x=12][y=12][type=0] 	=> 0.000982
[size=5][x=21][y=4][type=0] 	=> 0.000979
[size=20][x=14][y=8][type=2] 	=> 0.000976
[size=8][x=13][y=20][type=0] 	=> 0.000970
[size=10][x=20][y=27][type=1] 	=> 0.000966
[size=20][x=2][y=6][type=2] 	=> 0.000965
[size=20][x=18][y=11][type=0] 	=> 0.000951
[size=20][x=0][y=7][type=1] 	=> 0.000949
[size=20][x=17][y=4][type=1] 	=> 0.000947
[size=5][x=20][y=4][type=0] 	=> 0.000945
[size=4][x=22][y=17][type=2] 	=> 0.000936
[size=20][x=16][y=14][type=2] 	=> 0.000932
[size=8][x=26][y=9][type=1] 	=> 0.000926
[size=8][x=8][y=12][type=0] 	=> 0.000926
[size=10][x=24][y=10][type=1] 	=> 0.000924
[size=5][x=33][y=6][type=1] 	=> 0.000920
[size=8][x=23][y=21][type=0] 	=> 0.000917
[size=5][x=22][y=16][type=1] 	=> 0.000907
[size=10][x=20][y=13][type=0] 	=> 0.000902
[size=20][x=13][y=5][type=1] 	=> 0.000901
[size=10][x=27][y=13][type=2] 	=> 0.000898
[size=20][x=14][y=13][type=0] 	=> 0.000895
[size=8][x=16][y=23][type=0] 	=> 0.000891
[size=10][x=20][y=11][type=0] 	=> 0.000884
[size=8][x=14][y=10][type=0] 	=> 0.000883
[size=10][x=16][y=2][type=0] 	=> 0.000883
[size=4][x=30][y=4][type=1] 	=> 0.000882
[size=10][x=19][y=27][type=0] 	=> 0.000882
[size=10][x=25][y=19][type=0] 	=> 0.000880
[size=8][x=21][y=3][type=0] 	=> 0.000871
[size=10][x=19][y=7][type=1] 	=> 0.000871
[size=20][x=10][y=2][type=1] 	=> 0.000870
[size=4][x=22][y=15][type=1] 	=> 0.000868
[size=5][x=20][y=34][type=1] 	=> 0.000865
[size=10][x=4][y=26][type=2] 	=> 0.000864
[size=10][x=19][y=26][type=0] 	=> 0.000862
[size=8][x=24][y=9][type=2] 	=> 0.000857
[size=20][x=13][y=2][type=1] 	=> 0.000856
[size=5][x=15][y=19][type=0] 	=> 0.000855
[size=8][x=13][y=13][type=1] 	=> 0.000852
[size=8][x=29][y=8][type=1] 	=> 0.000852
[size=8][x=13][y=25][type=1] 	=> 0.000851
[size=10][x=6][y=1][type=0] 	=> 0.000850
[size=8][x=9][y=1][type=0] 	=> 0.000849
[size=10][x=15][y=6][type=1] 	=> 0.000846
[size=4][x=16][y=19][type=2] 	=> 0.000845
[size=4][x=14][y=20][type=1] 	=> 0.000845
[size=8][x=6][y=23][type=0] 	=> 0.000838
[size=20][x=19][y=14][type=1] 	=> 0.000833
[size=20][x=1][y=5][type=0] 	=> 0.000832
[size=5][x=19][y=1][type=1] 	=> 0.000829
[size=10][x=18][y=12][type=1] 	=> 0.000822
[size=8][x=31][y=30][type=2] 	=> 0.000821
[size=10][x=0][y=13][type=0] 	=> 0.000818
[size=5][x=13][y=24][type=0] 	=> 0.000817
[size=8][x=26][y=4][type=1] 	=> 0.000817
[size=10][x=12][y=17][type=1] 	=> 0.000814
[size=5][x=16][y=15][type=1] 	=> 0.000812
[size=20][x=12][y=14][type=0] 	=> 0.000812
[size=8][x=3][y=17][type=0] 	=> 0.000811
[size=10][x=12][y=17][type=0] 	=> 0.000810
[size=10][x=18][y=5][type=0] 	=> 0.000809
[size=8][x=14][y=22][type=1] 	=> 0.000805
[size=4][x=17][y=15][type=0] 	=> 0.000804
[size=5][x=12][y=10][type=0] 	=> 0.000802
[size=10][x=21][y=16][type=1] 	=> 0.000799
[size=8][x=9][y=4][type=1] 	=> 0.000789
[size=8][x=9][y=14][type=0] 	=> 0.000789
[size=10][x=13][y=26][type=2] 	=> 0.000787
[size=10][x=23][y=14][type=0] 	=> 0.000784
[size=8][x=19][y=20][type=1] 	=> 0.000783
[size=20][x=18][y=11][type=2] 	=> 0.000782
[size=8][x=12][y=20][type=0] 	=> 0.000781
[size=10][x=7][y=16][type=0] 	=> 0.000776
[size=10][x=12][y=14][type=2] 	=> 0.000773
[size=10][x=13][y=14][type=0] 	=> 0.000773
[size=5][x=14][y=23][type=0] 	=> 0.000770
[size=20][x=18][y=4][type=1] 	=> 0.000769
[size=5][x=4][y=11][type=0] 	=> 0.000768
[size=20][x=14][y=16][type=2] 	=> 0.000766
[size=20][x=8][y=9][type=0] 	=> 0.000763
[size=8][x=14][y=17][type=0] 	=> 0.000757
[size=10][x=25][y=14][type=0] 	=> 0.000751
[size=10][x=20][y=14][type=2] 	=> 0.000750
[size=10][x=15][y=1][type=1] 	=> 0.000744
[size=10][x=26][y=13][type=1] 	=> 0.000741
[size=20][x=5][y=12][type=0] 	=> 0.000740
[size=8][x=14][y=19][type=2] 	=> 0.000739
[size=10][x=9][y=16][type=0] 	=> 0.000736
[size=8][x=11][y=20][type=0] 	=> 0.000736
[size=10][x=29][y=21][type=0] 	=> 0.000735
[size=8][x=16][y=3][type=0] 	=> 0.000734
[size=4][x=31][y=24][type=0] 	=> 0.000723
[size=5][x=14][y=18][type=0] 	=> 0.000722
[size=10][x=19][y=17][type=1] 	=> 0.000721
[size=5][x=29][y=14][type=1] 	=> 0.000720
[size=10][x=18][y=28][type=2] 	=> 0.000718
[size=10][x=5][y=19][type=2] 	=> 0.000718
[size=20][x=17][y=8][type=0] 	=> 0.000717
[size=20][x=8][y=6][type=0] 	=> 0.000717
[size=20][x=19][y=7][type=0] 	=> 0.000713
[size=10][x=28][y=22][type=0] 	=> 0.000713
[size=8][x=8][y=20][type=0] 	=> 0.000704
[size=20][x=18][y=2][type=1] 	=> 0.000703
[size=10][x=16][y=14][type=2] 	=> 0.000702
[size=8][x=24][y=13][type=2] 	=> 0.000702
[size=5][x=3][y=18][type=0] 	=> 0.000701
[size=20][x=3][y=2][type=1] 	=> 0.000700
[size=10][x=3][y=11][type=0] 	=> 0.000700
[size=8][x=17][y=8][type=0] 	=> 0.000698
[size=8][x=10][y=23][type=0] 	=> 0.000696
[size=10][x=19][y=11][type=1] 	=> 0.000694
[size=4][x=8][y=22][type=0] 	=> 0.000694
[size=8][x=8][y=19][type=1] 	=> 0.000691
[size=20][x=4][y=16][type=1] 	=> 0.000688
[size=20][x=5][y=4][type=1] 	=> 0.000681
[size=4][x=19][y=18][type=0] 	=> 0.000679
[size=8][x=20][y=10][type=0] 	=> 0.000678
[size=5][x=23][y=13][type=0] 	=> 0.000678
[size=5][x=22][y=24][type=0] 	=> 0.000673
[size=10][x=0][y=21][type=0] 	=> 0.000673
[size=20][x=8][y=18][type=1] 	=> 0.000673
[size=10][x=12][y=7][type=0] 	=> 0.000672
[size=20][x=15][y=7][type=1] 	=> 0.000672
[size=20][x=16][y=6][type=1] 	=> 0.000668
[size=10][x=16][y=15][type=0] 	=> 0.000666
[size=10][x=12][y=0][type=1] 	=> 0.000665
[size=20][x=15][y=16][type=0] 	=> 0.000664
[size=4][x=16][y=29][type=1] 	=> 0.000660
[size=8][x=4][y=20][type=0] 	=> 0.000658
[size=20][x=16][y=13][type=1] 	=> 0.000658
[size=8][x=9][y=28][type=2] 	=> 0.000657
[size=8][x=25][y=23][type=0] 	=> 0.000653
[size=8][x=28][y=6][type=0] 	=> 0.000652
[size=8][x=20][y=29][type=0] 	=> 0.000651
[size=20][x=1][y=3][type=2] 	=> 0.000650
[size=4][x=17][y=20][type=2] 	=> 0.000650
[size=20][x=15][y=8][type=0] 	=> 0.000649
